trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
226,False,"{'a': 0.5, 'e': 0.104350484754765}",20,2,25.024326569067984,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",20,0,26.47689187855051,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",25,11,4.614262722201918,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.1012664618538834}",20,13,10.93270734299198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,11,16.4012358133379,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09926125155964566}",20,7,16.874150831377214,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,4,6.4132891916664345,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09729574708953276}",20,10,-4.345978017233907,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09632763823049303}",30,20,17.703775667919004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09536916221554961}",25,20,7.922844250885533,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09442022319630235}",20,10,19.127237384846303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09348072627805847}",25,1,13.773479812623068,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09255057751034329}",25,13,13.827316629903194,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09162968387750484}",20,7,23.795559460956042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.09071795328941251}",20,8,12.56701540562889,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08981529457224763}",25,8,27.039323862449542,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08892161745938634}",20,0,-49.19599214490998,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
243,False,"{'a': 0.5, 'e': 0.08803683258237255}",20,13,-29.946451811261642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.0871608514619813}",20,0,29.421683649161533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.0862935864993705}",20,11,6.707891927524614,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08543495096732123}",30,17,25.485899421212128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08458485900156469}",25,2,-37.18647372671777,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.08374322559219596}",25,17,1.8165473179952276,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08290996657517266}",20,0,29.239727523401623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,11,27.192215804498375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
